#l;m;n;k;Gflops
1;12544;64;147;1.03e+00
2;3136;64;64;1.05e+00
3;3136;64;576;1.03e+00
4;3136;256;64;1.17e+00
5;3136;64;256;1.02e+00
6;3136;128;256;1.12e+00
7;784;128;1152;1.13e+00
8;784;512;128;1.23e+00
9;784;512;256;1.21e+00
10;784;128;512;1.16e+00
11;784;256;512;1.20e+00
12;196;256;2304;1.18e+00
13;196;1024;256;1.19e+00
14;196;1024;512;1.19e+00
15;196;256;1024;1.12e+00
16;196;512;1024;1.13e+00
17;49;512;4608;8.96e-01
18;49;2048;512;9.47e-01
19;49;2048;1024;8.13e-01
20;49;512;2048;7.87e-01
