#l;m;n;k;Gflops
1;12544;64;147;1.69e+00
2;3136;64;64;1.78e+00
3;3136;64;576;1.68e+00
4;3136;256;64;2.17e+00
5;3136;64;256;1.70e+00
6;3136;128;256;1.98e+00
7;784;128;1152;1.90e+00
8;784;512;128;2.27e+00
9;784;512;256;2.26e+00
10;784;128;512;2.01e+00
11;784;256;512;2.16e+00
12;196;256;2304;2.07e+00
13;196;1024;256;2.19e+00
14;196;1024;512;2.19e+00
15;196;256;1024;2.01e+00
16;196;512;1024;2.04e+00
17;49;512;4608;1.74e+00
18;49;2048;512;1.70e+00
19;49;2048;1024;1.50e+00
20;49;512;2048;1.36e+00
