#l;m;n;k;Gflops
1;12544;64;147;1.41e+00
2;3136;64;64;1.41e+00
3;3136;64;576;1.36e+00
4;3136;256;64;1.65e+00
5;3136;64;256;1.38e+00
6;3136;128;256;1.51e+00
7;784;128;1152;1.59e+00
8;784;512;128;1.75e+00
9;784;512;256;1.68e+00
10;784;128;512;1.61e+00
11;784;256;512;1.63e+00
12;196;256;2304;1.51e+00
13;196;1024;256;1.62e+00
14;196;1024;512;1.56e+00
15;196;256;1024;1.48e+00
16;196;512;1024;1.49e+00
17;49;512;4608;1.30e+00
18;49;2048;512;1.27e+00
19;49;2048;1024;1.17e+00
20;49;512;2048;1.07e+00
