#l;m;n;k;Gflops
1;12544;64;147;2.50e+00
2;3136;64;64;2.58e+00
3;3136;64;576;2.40e+00
4;3136;256;64;3.45e+00
5;3136;64;256;2.52e+00
6;3136;128;256;3.14e+00
7;784;128;1152;2.79e+00
8;784;512;128;3.62e+00
9;784;512;256;3.80e+00
10;784;128;512;3.05e+00
11;784;256;512;3.37e+00
12;196;256;2304;3.49e+00
13;196;1024;256;3.88e+00
14;196;1024;512;3.59e+00
15;196;256;1024;3.26e+00
16;196;512;1024;3.28e+00
17;49;512;4608;2.66e+00
18;49;2048;512;2.69e+00
19;49;2048;1024;2.16e+00
20;49;512;2048;1.83e+00
