#l;m;n;k;Gflops
1;12544;64;147;2.65e+00
2;3136;64;64;2.89e+00
3;3136;64;576;1.08e+00
4;3136;256;64;3.99e+00
5;3136;64;256;1.57e+00
6;3136;128;256;1.73e+00
7;784;128;1152;1.09e+00
8;784;512;128;3.93e+00
9;784;512;256;1.90e+00
10;784;128;512;1.31e+00
11;784;256;512;1.31e+00
12;196;256;2304;1.02e+00
13;196;1024;256;1.93e+00
14;196;1024;512;1.28e+00
15;196;256;1024;1.08e+00
16;196;512;1024;1.08e+00
17;49;512;4608;8.90e-01
18;49;2048;512;1.12e+00
19;49;2048;1024;9.14e-01
20;49;512;2048;8.27e-01
