#l;m;n;k;Gflops
1;12544;64;147;2.44e+00
2;3136;64;64;2.57e+00
3;3136;64;576;2.50e+00
4;3136;256;64;3.52e+00
5;3136;64;256;2.42e+00
6;3136;128;256;3.05e+00
7;784;128;1152;3.24e+00
8;784;512;128;4.03e+00
9;784;512;256;3.78e+00
10;784;128;512;3.35e+00
11;784;256;512;3.83e+00
12;196;256;2304;3.77e+00
13;196;1024;256;3.86e+00
14;196;1024;512;3.79e+00
15;196;256;1024;3.21e+00
16;196;512;1024;3.27e+00
17;49;512;4608;2.16e+00
18;49;2048;512;2.44e+00
19;49;2048;1024;1.74e+00
20;49;512;2048;1.61e+00
