#l;m;n;k;Gflops
1;12544;64;147;1.88e+00
2;3136;64;64;1.92e+00
3;3136;64;576;1.84e+00
4;3136;256;64;2.36e+00
5;3136;64;256;1.91e+00
6;3136;128;256;2.23e+00
7;784;128;1152;2.08e+00
8;784;512;128;2.48e+00
9;784;512;256;2.50e+00
10;784;128;512;2.19e+00
11;784;256;512;2.33e+00
12;196;256;2304;2.34e+00
13;196;1024;256;2.41e+00
14;196;1024;512;2.34e+00
15;196;256;1024;2.24e+00
16;196;512;1024;2.25e+00
17;49;512;4608;1.84e+00
18;49;2048;512;1.70e+00
19;49;2048;1024;1.54e+00
20;49;512;2048;1.42e+00
