#l;m;n;k;Gflops
1;12544;64;147;3.03e+00
2;3136;64;64;3.35e+00
3;3136;64;576;3.02e+00
4;3136;256;64;5.08e+00
5;3136;64;256;3.08e+00
6;3136;128;256;4.16e+00
7;784;128;1152;3.99e+00
8;784;512;128;5.65e+00
9;784;512;256;5.74e+00
10;784;128;512;4.28e+00
11;784;256;512;5.07e+00
12;196;256;2304;5.31e+00
13;196;1024;256;5.26e+00
14;196;1024;512;5.43e+00
15;196;256;1024;4.82e+00
16;196;512;1024;4.94e+00
17;49;512;4608;4.08e+00
18;49;2048;512;3.56e+00
19;49;2048;1024;2.87e+00
20;49;512;2048;2.49e+00
