
8 4 512 0.000013 2.583196
8 8 512 0.000009 7.522452
8 12 512 0.000016 6.293473
8 16 512 0.000027 4.797632
8 20 512 0.000047 3.488422
8 24 512 0.000099 1.995411
8 28 512 0.000361 0.635213
16 4 512 0.000019 3.448345
16 8 512 0.000013 9.901229
16 12 512 0.000051 3.851197
16 16 512 0.000246 1.066190
24 4 512 0.000022 4.407873
24 8 512 0.000036 5.504751
24 12 512 0.000248 1.188352
32 4 512 0.000024 5.356469
32 8 512 0.000080 3.294012
40 4 512 0.000026 6.238944
40 8 512 0.000279 1.174342
48 4 512 0.000043 4.618012
