
8 4 512 0.000013 2.598778
8 8 512 0.000025 2.572968
8 12 512 0.000043 2.296825
8 16 512 0.000060 2.166987
8 20 512 0.000093 1.756525
8 24 512 0.000145 1.358005
8 28 512 0.000215 1.067441
16 4 512 0.000019 3.440059
16 8 512 0.000034 3.814226
16 12 512 0.000067 2.955888
16 16 512 0.000272 0.964343
24 4 512 0.000022 4.411033
24 8 512 0.000051 3.844195
24 12 512 0.000266 1.108883
32 4 512 0.000025 5.348756
32 8 512 0.000095 2.755696
40 4 512 0.000025 6.457262
40 8 512 0.000294 1.114349
48 4 512 0.000042 4.636420
